case_tag,seed,model_mix,frag,load,nrack,workload,pp1_spread_ms,status,run_dir
spread0ms_seed42,42,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed43,43,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed44,44,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed45,45,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed46,46,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed47,47,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed48,48,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed49,49,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed50,50,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread0ms_seed51,51,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed42,42,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed43,43,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed44,44,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed45,45,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed46,46,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed47,47,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed48,48,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed49,49,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed50,50,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread25ms_seed51,51,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed42,42,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed43,43,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed44,44,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed45,45,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed46,46,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed47,47,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed48,48,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed49,49,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed50,50,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread50ms_seed51,51,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed42,42,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed43,43,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed44,44,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed45,45,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed46,46,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed47,47,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed48,48,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed49,49,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed50,50,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread75ms_seed51,51,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed42,42,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed43,43,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed44,44,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed45,45,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed46,46,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed47,47,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed48,48,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed49,49,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed50,50,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
spread100ms_seed51,51,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
