scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
helios_t10,10,1.166,0.134
helios_t20,10,1.018,0.099
helios_t30,10,1.015,0.127
helios_t40,10,1.036,0.142
helios_t50,10,1.165,0.146
helios_t60,10,1.284,0.193
helios_t70,10,1.545,0.364
helios_t80,10,1.643,0.251
helios_t90,10,1.826,0.256
hyacinth_dynamic,10,1.000,0.000
hyacinth_preset_t10,10,1.012,0.096
hyacinth_preset_t20,10,0.997,0.119
hyacinth_preset_t30,10,0.996,0.069
hyacinth_preset_t40,10,1.109,0.129
hyacinth_preset_t50,10,1.191,0.106
hyacinth_preset_t60,10,1.389,0.285
hyacinth_preset_t70,10,1.574,0.290
hyacinth_preset_t80,10,1.758,0.299
hyacinth_preset_t90,10,1.927,0.320
