scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
helios_t10,10,0.977,0.040
helios_t20,10,1.274,0.272
helios_t30,10,1.865,0.678
helios_t40,10,6.851,11.396
helios_t50,10,9.645,11.976
helios_t60,10,20.296,18.747
helios_t70,10,13.339,12.341
helios_t80,10,18.759,17.468
helios_t90,10,20.075,15.180
hyacinth_dynamic,10,1.000,0.000
hyacinth_preset_t10,10,1.032,0.026
hyacinth_preset_t20,10,1.017,0.016
hyacinth_preset_t30,10,1.017,0.018
hyacinth_preset_t40,10,1.016,0.016
hyacinth_preset_t50,10,1.009,0.021
hyacinth_preset_t60,10,1.034,0.012
hyacinth_preset_t70,10,1.091,0.027
hyacinth_preset_t80,10,1.186,0.039
hyacinth_preset_t90,10,1.361,0.061
