scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.949,17,17,17
helios_t20,1.126,17,17,17
helios_t30,1.976,17,17,17
helios_t40,2.232,17,17,17
helios_t50,17.143,17,17,17
helios_t60,24.003,17,17,17
helios_t70,4.778,17,17,17
helios_t80,19.933,17,17,17
helios_t90,6.743,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,1.042,17,17,17
hyacinth_preset_t20,1.015,17,17,17
hyacinth_preset_t30,1.031,17,17,17
hyacinth_preset_t40,1.018,17,17,17
hyacinth_preset_t50,1.014,17,17,17
hyacinth_preset_t60,1.041,17,17,17
hyacinth_preset_t70,1.135,17,17,17
hyacinth_preset_t80,1.193,17,17,17
hyacinth_preset_t90,1.374,17,17,17
